Year,General_Tau,Soybean_Tau,Auto_Tau,Chips_Tau,Simulated_Shock
2015,0.036738655115511554,0.0,0.025,0.0,0.036738655115511554
2016,0.03521367860830884,0.0,0.019999999999999997,0.0,0.03521367860830884
2017,0.037918115055079554,0.0,0.02500000000000001,0.0,0.037918115055079554
2018,0.037584552393067266,0.0,0.025,0.0,0.037584552393067266
2019,0.03419339689265537,0.0,0.025,0.0,0.03419339689265537
2020,0.04443604112634309,0.0,0.02500000000000001,0.0,0.04443604112634309
2021,0.0372828034215623,0.0,0.02500000000000001,0.0,0.0372828034215623
2022,0.037521053431633346,0.0,0.02500000000000001,0.0,0.037521053431633346
2023,0.03756719462443005,0.0,0.02500000000000001,0.0,0.03756719462443005
2024,0.03749021565495208,0.0,0.02500000000000001,0.0,0.03749021565495208
2025,0.0378229612866726,0.0,0.02500000000000001,0.0,0.1
